Date,Open,High,Low,Close,Volume,AdjClose
11/23/2010,535.99,535.99,528.93,530.65,4133070000,530.65
11/22/2010,539.55,539.55,532.24,538.17,3689500000,538.17
11/19/2010,538.87,540.12,535.72,539.99,3675390000,539.99
11/18/2010,533.43,540.41,533.43,539.04,4687260000,539.04
11/17/2010,531.47,533.24,529.73,530.81,3904780000,530.81
11/16/2010,538.3,538.3,528.93,531.42,5116380000,531.42
11/15/2010,540.74,543.77,539.3,539.62,3503370000,539.62
11/12/2010,544.51,545.25,538.03,540.22,4213620000,540.22
11/11/2010,546.69,547.24,542.92,546.44,3931120000,546.44
11/10/2010,547.61,549.91,543.51,549.72,4561300000,549.72
11/9/2010,551.69,553.1,545.8,547.76,4848040000,547.76
11/8/2010,551.47,552.33,549.21,551.66,3937230000,551.66
11/5/2010,550.75,553.09,550.01,552.7,5637460000,552.7
11/4/2010,540.45,550.88,540.45,550.78,5695470000,550.78
11/3/2010,537.8,540.39,533.93,540.21,4665480000,540.21
11/2/2010,535.65,538.71,535.65,537.54,3866200000,537.54
11/1/2010,534.34,538.87,530.96,533.85,4129180000,533.85
10/29/2010,534.6,534.6,531.93,533.08,3537880000,533.08
10/28/2010,534.34,536.32,531.44,534.27,4283460000,534.27
10/27/2010,534.58,534.58,528.9,533.49,4335670000,533.49
10/26/2010,534.6,536.02,531.98,535.37,4203680000,535.37
10/25/2010,534.87,539.71,534.66,534.88,4221380000,534.88
10/22/2010,533.44,534.9,532.65,534.19,3177890000,534.19
10/21/2010,533.03,537.45,529.35,533.47,4625470000,533.47
10/20/2010,527.27,534.65,527.27,532.44,5027880000,532.44
10/19/2010,531.79,531.98,524.17,526.98,5600120000,526.98
10/18/2010,531.24,535.65,530.09,535.23,4450050000,535.23
10/15/2010,532.32,533.38,526.79,530.78,5724910000,530.78
10/14/2010,531.72,531.8,526.68,530.02,4969410000,530.02
10/13/2010,529.15,534.81,529.15,531.86,4969410000,531.86
10/12/2010,525.69,529.85,522.35,528.54,4076170000,528.54
10/11/2010,526.4,527.77,524.65,526.22,3118110000,526.22
10/8/2010,523.59,527.38,522.34,526.27,3871420000,526.27
