Date,Open,High,Low,Close,Volume,Adj Close
2000-05-22,469.62,470.05,447.40,458.04,000,458.04
2000-05-15,477.77,490.58,468.32,469.62,000,469.62
2000-05-08,485.51,486.53,462.72,477.77,000,477.77
2000-05-01,481.85,490.70,460.07,485.51,000,485.51
2000-04-24,460.85,481.95,448.95,481.85,000,481.85
2000-04-17,430.94,466.68,425.65,460.85,000,460.85
2000-04-10,491.79,492.59,428.31,430.94,000,430.94
2000-04-03,499.69,499.69,442.03,491.79,000,491.79
2000-03-27,498.15,502.42,474.67,499.69,000,499.69
2000-03-20,486.99,505.63,465.73,498.15,000,498.15
2000-03-13,483.97,487.42,452.92,486.99,000,486.99
2000-03-06,479.18,490.53,464.89,483.97,000,483.97
2000-02-28,446.96,479.26,438.44,479.18,000,479.18
2000-02-22,439.08,454.00,431.32,446.96,000,446.96
2000-02-14,443.39,452.59,437.54,439.08,000,439.08
2000-02-07,445.16,453.16,441.70,443.39,000,443.39
2000-01-31,430.19,449.89,422.48,445.16,000,445.16
2000-01-24,452.87,458.32,427.57,430.19,000,430.19
2000-01-18,448.47,454.58,446.16,452.87,000,452.87
2000-01-10,436.74,451.69,431.86,448.44,000,448.44
2000-01-03,444.67,446.48,415.98,436.74,000,436.74
1999-12-27,437.28,445.10,432.52,444.67,000,444.67
1999-12-20,417.11,439.40,417.11,437.28,000,437.28
1999-12-13,419.71,423.12,409.28,417.11,000,417.11
1999-12-06,432.93,434.96,415.61,419.72,000,419.72
1999-11-29,425.65,435.21,417.58,432.93,000,432.93
1999-11-22,432.00,433.15,417.56,425.65,000,425.65
1999-11-15,419.45,434.86,419.26,432.00,000,432.00
1999-11-08,413.60,419.57,411.36,419.45,000,419.45
1999-11-01,399.62,416.10,399.09,413.60,000,413.60
1999-10-25,382.85,401.07,378.16,399.62,000,399.62
1999-10-18,375.05,384.26,366.05,382.85,000,382.85
1999-10-11,385.07,391.87,371.77,375.05,000,375.05
1999-10-04,379.03,390.55,379.03,385.07,000,385.07
1999-09-27,382.43,387.83,375.63,379.03,000,379.03
1999-09-20,403.32,404.03,378.98,382.43,000,382.43
1999-09-13,408.47,408.47,394.13,403.32,000,403.32
1999-09-07,404.69,409.35,401.56,408.47,000,408.47
1999-08-30,398.00,404.69,390.63,404.69,000,404.69
1999-08-23,401.79,406.43,398.00,398.00,000,398.00
1999-08-16,401.35,403.78,395.68,401.79,000,401.79
1999-08-09,395.11,401.48,384.70,401.35,000,401.35
1999-08-02,407.46,408.89,391.27,395.11,000,395.11
1999-07-26,415.37,415.37,404.45,407.46,000,407.46
1999-07-19,427.82,428.32,413.35,415.37,000,415.37
1999-07-12,421.63,428.65,417.32,427.82,000,427.82
1999-07-06,419.82,423.53,416.91,421.63,000,421.63
1999-06-28,403.79,419.96,402.07,419.82,000,419.82
1999-06-21,407.49,412.73,403.62,403.79,000,403.79
1999-06-14,398.83,408.16,396.07,407.49,000,407.49
1999-06-07,403.65,408.86,397.54,398.83,000,398.83
1999-06-01,395.87,403.65,389.87,403.65,000,403.65
1999-05-24,403.01,405.25,387.48,395.87,000,395.87
1999-05-17,399.52,407.11,393.84,403.01,000,403.01
1999-05-10,398.74,413.23,398.24,399.52,000,399.52
1999-05-03,394.59,404.10,392.74,398.74,000,398.74
1999-04-26,389.90,401.58,389.89,394.59,000,394.59
1999-04-19,380.28,390.33,376.06,389.90,000,389.90
1999-04-12,368.96,382.00,364.78,380.28,000,380.28
1999-04-05,366.68,371.27,361.18,368.96,000,368.96
1999-03-29,363.05,370.01,363.05,366.68,000,366.68
1999-03-22,362.31,365.12,352.35,363.06,000,363.06
1999-03-15,364.10,369.03,362.31,362.31,000,362.31
1999-03-08,364.96,368.85,362.76,364.10,000,364.10
1999-03-01,356.50,366.59,354.43,364.96,000,364.96
1999-02-22,358.58,366.95,354.80,356.50,000,356.50
1999-02-16,359.95,365.14,354.44,358.58,000,358.58
1999-02-08,367.22,370.49,357.58,359.95,000,359.95
1999-02-01,376.70,398.54,366.32,367.22,000,367.22
1999-01-25,376.25,379.52,373.75,376.70,000,376.70
1999-01-19,383.91,388.39,373.88,376.25,000,376.25
1999-01-11,391.16,391.58,374.69,383.91,000,383.91
1999-01-04,392.31,395.14,387.31,391.16,000,391.16
1998-12-28,367.01,392.31,367.01,392.31,000,392.31
1998-12-21,354.39,367.15,354.39,367.01,000,367.01
1998-12-14,350.85,355.55,343.46,354.39,000,354.39
